ZIP;NAME;TYPE;A0_NAME;A1_NAME;A2_NAME;A3_NAME;A4_NAME;A5_NAME;A6_NAME;A7_NAME;A8_NAME;X_COORDINATE;Y_COORDINATE;SERVICE_HOURS;TEMP_SERVICE_HOURS;TEMP_SERVICE_HOURS_UNTIL;TEMP_SERVICE_HOURS_2;TEMP_SERVICE_HOURS_2_UNTIL;comment_est;comment_eng;comment_rus;comment_lav;comment_lit;MODIFIED
9599;"Daugavpils T/C Solo pakomāts";0;LV;Daugavpils;;;;"Rīgas iela";;9;;26.517890;55.871867;;;;;;;;;;;2024-07-11T11:20:18.067+03:00
9998;"Daugavpils Valkas ielas Mego pakomāts";0;LV;Daugavpils;;;;"Valkas iela";;1;;26.561261;55.879532;;;;;;;;;"Pa labi no ieejas";;2024-06-27T09:23:45.793+03:00
9566;"Daugavpils Viestura ielas Mego pakomāts";0;LV;Daugavpils;;;;"Viestura iela";;60;;26.524394;55.872210;;;;;;;;;;;2024-06-25T16:33:42.807+03:00
9246;"Daugmales ELVI pakomāts";0;LV;"Ķekavas novads";"Daugmales pagasts";Daugmale;;;Ceļmalas;;;24.415907;56.821828;;;;;;;;;;;2024-06-25T09:33:19.107+03:00
99563;"Daugų GILĖ paštomatas";0;LT;"Alytaus apskr.";"Alytaus r. sav.";"Daugų m.";;"Laisvės g.";;5;;24.344406;54.361532;;;;;;;;;;;2024-05-20T09:54:12.560+03:00
9941;"Dobeles Brīvības ielas RIMI pakomāts";0;LV;"Dobeles novads";Dobele;;;"Brīvības iela";;30;;23.286877;56.626506;;;;;;;;;"Blakus T/C centrālajai ieejai";;2024-06-26T14:07:58.200+03:00
9575;"Dobeles Krasta ielas TOP pakomāts";0;LV;"Dobeles novads";Dobele;;;"Krasta iela";;7;;23.283159;56.616331;;;;;;;;;;;2024-06-26T09:35:58.523+03:00
9518;"Dobeles Muldavas ielas TOP pakomāts";0;LV;"Dobeles novads";Dobele;;;"Muldavas iela";;3A;;23.279936;56.628371;;;;;;;;;;;2024-06-25T15:13:35.690+03:00
9202;"Dobeles Zaļās ielas Maxima X pakomāts";0;LV;"Dobeles novads";Dobele;;;"Zaļā iela";;19;;23.284410;56.619777;;;;;;;;;"Pa labi no ieejas";;2024-02-13T09:44:58.520+02:00
88865;"Druskininkų IKI Čiurlionio paštomatas";0;LT;"Alytaus apskr.";"Druskininkų sav.";"Druskininkų m.";;"M. K. Čiurlionio g.";;107;;23.990209;54.011307;;;;;;;;;;"Paštomatą rasite lauke prie sienos, dešinėje įėjimo į parduotuvę pusėje, už kampo";2024-08-02T07:38:56.723+03:00
99969;"Druskininkų MAXIMA Veisiejų g. paštomatas";0;LT;"Alytaus apskr.";"Druskininkų sav.";"Druskininkų m.";;"Veisiejų g.";;31;;24.001587;54.020948;;;;;;;;;;;2024-01-02T09:09:46.257+02:00
99077;"Druskininkų MAXIMA Čiurlionio g. 99 paštomatas";0;LT;"Alytaus apskr.";"Druskininkų sav.";"Druskininkų m.";;"M. K. Čiurlionio g.";;99;;23.987642;54.012132;;;;;;;;;;;2024-08-02T07:39:54.327+03:00
55517;"Druskininkų NORFA Leipalingio g. paštomatas";0;LT;"Alytaus apskr.";"Druskininkų sav.";"Druskininkų m.";;"Leipalingio g.";;1;;23.987362;54.028801;;;;;;;;;;"Paštomatą rasite lauke prie šoninės sienos, kairėje įėjimo į parduotuvę pusėje, už kampo";2024-08-13T10:31:11.157+03:00
